Language,Program,Powercap,Package,Core,GPU,DRAM,Timestamp,Temperature
C,ack_ot_p7_c_41,7,0.723388671875000000, 0.504089355468750000, 0.000854492187500000, 0.000000000000000000,0,28.88
C,ack_ot_p7_c_41,7,0.714782714843750000, 0.498291015625000000, 0.002319335937500000, 0.000000000000000000,50,28.88
C,ack_ot_p7_c_41,7,0.500000000000000000, 0.283264160156250000, 0.001831054687500000, 0.000000000000000000,100,28.88
C,ack_ot_p7_c_41,7,0.435058593750000000, 0.219177246093750000, 0.001708984375000000, 0.000000000000000000,150,28.88
C,ack_ot_p7_c_41,7,0.395507812500000000, 0.180053710937500000, 0.001220703125000000, 0.000000000000000000,200,28.88
C,ack_ot_p7_c_41,7,0.373535156250000000, 0.162719726562500000, 0.001464843750000000, 0.000000000000000000,250,28.88
C,ack_ot_p7_c_41,7,0.369445800781250000, 0.150268554687500000, 0.001525878906250000, 0.000000000000000000,300,28.88
C,ack_ot_p7_c_41,7,0.359802246093750000, 0.142639160156250000, 0.001037597656250000, 0.000000000000000000,350,28.88
C,ack_ot_p7_c_41,7,0.361206054687500000, 0.146606445312500000, 0.001708984375000000, 0.000000000000000000,400,28.88
C,ack_ot_p7_c_41,7,0.345397949218750000, 0.133483886718750000, 0.000976562500000000, 0.000000000000000000,450,28.88
C,ack_ot_p7_c_41,7,0.354003906250000000, 0.135925292968750000, 0.003723144531250000, 0.000000000000000000,500,28.88
C,ack_ot_p7_c_41,7,0.338439941406250000, 0.123535156250000000, 0.003601074218750000, 0.000000000000000000,550,28.88
C,ack_ot_p7_c_41,7,0.340698242187500000, 0.127990722656250000, 0.002197265625000000, 0.000000000000000000,600,28.88
C,ack_ot_p7_c_41,7,0.343017578125000000, 0.126464843750000000, 0.001281738281250000, 0.000000000000000000,650,28.88
C,ack_ot_p7_c_41,7,0.339538574218750000, 0.124511718750000000, 0.001525878906250000, 0.000000000000000000,700,28.88
C,ack_ot_p7_c_41,7,0.345336914062500000, 0.125671386718750000, 0.000793457031250000, 0.000000000000000000,750,30.38
C,ack_ot_p7_c_41,7,0.337219238281250000, 0.126403808593750000, 0.001281738281250000, 0.000000000000000000,800,30.38
C,ack_ot_p7_c_41,7,0.349365234375000000, 0.130615234375000000, 0.004394531250000000, 0.000000000000000000,850,30.38
C,ack_ot_p7_c_41,7,0.341186523437500000, 0.123413085937500000, 0.002990722656250000, 0.000000000000000000,900,30.38
C,ack_ot_p7_c_41,7,0.338989257812500000, 0.124206542968750000, 0.002807617187500000, 0.000000000000000000,950,30.38
C,ack_ot_p7_c_41,7,0.336791992187500000, 0.123779296875000000, 0.001037597656250000, 0.000000000000000000,1000,30.38
C,ack_ot_p7_c_41,7,0.339721679687500000, 0.126525878906250000, 0.000732421875000000, 0.000000000000000000,1050,30.38
C,ack_ot_p7_c_41,7,0.340820312500000000, 0.126159667968750000, 0.001159667968750000, 0.000000000000000000,1100,30.38
C,ack_ot_p7_c_41,7,0.347839355468750000, 0.127563476562500000, 0.001159667968750000, 0.000000000000000000,1150,30.38
