Language,Program,Powercap,Package,Core,GPU,DRAM,Timestamp,Temperature
C,ack_ot_p7_c_312,7,0.745788574218750000, 0.528015136718750000, 0.001770019531250000, 0.000000000000000000,0,27.75
C,ack_ot_p7_c_312,7,0.706359863281250000, 0.495422363281250000, 0.001831054687500000, 0.000000000000000000,50,27.75
C,ack_ot_p7_c_312,7,0.511474609375000000, 0.295776367187500000, 0.000976562500000000, 0.000000000000000000,100,27.75
C,ack_ot_p7_c_312,7,0.427795410156250000, 0.215759277343750000, 0.003051757812500000, 0.000000000000000000,150,27.75
C,ack_ot_p7_c_312,7,0.386657714843750000, 0.176696777343750000, 0.001342773437500000, 0.000000000000000000,200,27.75
C,ack_ot_p7_c_312,7,0.371093750000000000, 0.161193847656250000, 0.001403808593750000, 0.000000000000000000,250,27.75
C,ack_ot_p7_c_312,7,0.363891601562500000, 0.149597167968750000, 0.002502441406250000, 0.000000000000000000,300,27.75
C,ack_ot_p7_c_312,7,0.354187011718750000, 0.141601562500000000, 0.001159667968750000, 0.000000000000000000,350,27.75
C,ack_ot_p7_c_312,7,0.365661621093750000, 0.149658203125000000, 0.001647949218750000, 0.000000000000000000,400,27.75
C,ack_ot_p7_c_312,7,0.360717773437500000, 0.137512207031250000, 0.002685546875000000, 0.000000000000000000,450,27.75
C,ack_ot_p7_c_312,7,0.356262207031250000, 0.136352539062500000, 0.001403808593750000, 0.000000000000000000,500,27.75
C,ack_ot_p7_c_312,7,0.340087890625000000, 0.125976562500000000, 0.002136230468750000, 0.000000000000000000,550,27.75
C,ack_ot_p7_c_312,7,0.343688964843750000, 0.121520996093750000, 0.002624511718750000, 0.000000000000000000,600,27.75
C,ack_ot_p7_c_312,7,0.344665527343750000, 0.124938964843750000, 0.002319335937500000, 0.000000000000000000,650,27.75
C,ack_ot_p7_c_312,7,0.338256835937500000, 0.122436523437500000, 0.001159667968750000, 0.000000000000000000,700,29.38
C,ack_ot_p7_c_312,7,0.339294433593750000, 0.125488281250000000, 0.002075195312500000, 0.000000000000000000,750,29.38
C,ack_ot_p7_c_312,7,0.336975097656250000, 0.123474121093750000, 0.001159667968750000, 0.000000000000000000,800,29.38
C,ack_ot_p7_c_312,7,0.348083496093750000, 0.125671386718750000, 0.001831054687500000, 0.000000000000000000,850,29.38
C,ack_ot_p7_c_312,7,0.347045898437500000, 0.126770019531250000, 0.002380371093750000, 0.000000000000000000,900,29.38
C,ack_ot_p7_c_312,7,0.341552734375000000, 0.124755859375000000, 0.001342773437500000, 0.000000000000000000,950,29.38
C,ack_ot_p7_c_312,7,0.337646484375000000, 0.125488281250000000, 0.000793457031250000, 0.000000000000000000,1000,29.38
C,ack_ot_p7_c_312,7,0.336669921875000000, 0.123779296875000000, 0.000976562500000000, 0.000000000000000000,1050,29.38
C,ack_ot_p7_c_312,7,0.357727050781250000, 0.135620117187500000, 0.002380371093750000, 0.000000000000000000,1100,29.38
C,ack_ot_p7_c_312,7,0.338806152343750000, 0.124816894531250000, 0.001525878906250000, 0.000000000000000000,1150,29.38
C,ack_ot_p7_c_312,7,0.336486816406250000, 0.122070312500000000, 0.002624511718750000, 0.000000000000000000,1200,29.38
C,ack_ot_p7_c_312,7,0.343078613281250000, 0.128295898437500000, 0.002136230468750000, 0.000000000000000000,1250,29.38
C,ack_ot_p7_c_312,7,0.346069335937500000, 0.124633789062500000, 0.001770019531250000, 0.000000000000000000,1300,29.38
C,ack_ot_p7_c_312,7,0.343017578125000000, 0.127624511718750000, 0.001159667968750000, 0.000000000000000000,1350,29.38
C,ack_ot_p7_c_312,7,0.337280273437500000, 0.127075195312500000, 0.001098632812500000, 0.000000000000000000,1400,29.38
C,ack_ot_p7_c_312,7,0.340087890625000000, 0.125793457031250000, 0.001403808593750000, 0.000000000000000000,1450,30.12
C,ack_ot_p7_c_312,7,0.351440429687500000, 0.128662109375000000, 0.001037597656250000, 0.000000000000000000,1500,30.12
C,ack_ot_p7_c_312,7,0.353881835937500000, 0.134887695312500000, 0.002807617187500000, 0.000000000000000000,1550,30.12
C,ack_ot_p7_c_312,7,0.336853027343750000, 0.123962402343750000, 0.001098632812500000, 0.000000000000000000,1600,30.12
C,ack_ot_p7_c_312,7,0.334716796875000000, 0.124877929687500000, 0.000854492187500000, 0.000000000000000000,1650,30.12
C,ack_ot_p7_c_312,7,0.346862792968750000, 0.132019042968750000, 0.002868652343750000, 0.000000000000000000,1700,30.12
C,ack_ot_p7_c_312,7,0.334716796875000000, 0.125427246093750000, 0.001403808593750000, 0.000000000000000000,1750,30.12
C,ack_ot_p7_c_312,7,0.346984863281250000, 0.124511718750000000, 0.002441406250000000, 0.000000000000000000,1800,30.12
C,ack_ot_p7_c_312,7,0.344177246093750000, 0.128601074218750000, 0.002197265625000000, 0.000000000000000000,1850,30.12
C,ack_ot_p7_c_312,7,0.340209960937500000, 0.126220703125000000, 0.001281738281250000, 0.000000000000000000,1900,30.12
C,ack_ot_p7_c_312,7,0.336853027343750000, 0.121887207031250000, 0.000976562500000000, 0.000000000000000000,1950,30.12
C,ack_ot_p7_c_312,7,0.341979980468750000, 0.128601074218750000, 0.002197265625000000, 0.000000000000000000,2000,30.12
C,ack_ot_p7_c_312,7,0.345520019531250000, 0.125549316406250000, 0.001403808593750000, 0.000000000000000000,2050,30.12
C,ack_ot_p7_c_312,7,0.339721679687500000, 0.124511718750000000, 0.000976562500000000, 0.000000000000000000,2100,30.12
C,ack_ot_p7_c_312,7,0.343200683593750000, 0.126647949218750000, 0.001342773437500000, 0.000000000000000000,2150,30.12
C,ack_ot_p7_c_312,7,0.339782714843750000, 0.125976562500000000, 0.002258300781250000, 0.000000000000000000,2200,29.75
C,ack_ot_p7_c_312,7,0.338745117187500000, 0.123291015625000000, 0.001647949218750000, 0.000000000000000000,2250,29.75
C,ack_ot_p7_c_312,7,0.349426269531250000, 0.131103515625000000, 0.001037597656250000, 0.000000000000000000,2300,29.75
C,ack_ot_p7_c_312,7,0.343139648437500000, 0.129272460937500000, 0.002014160156250000, 0.000000000000000000,2350,29.75
C,ack_ot_p7_c_312,7,0.335449218750000000, 0.125427246093750000, 0.001342773437500000, 0.000000000000000000,2400,29.75
C,ack_ot_p7_c_312,7,0.348205566406250000, 0.129394531250000000, 0.003234863281250000, 0.000000000000000000,2450,29.75
C,ack_ot_p7_c_312,7,0.341308593750000000, 0.123291015625000000, 0.002197265625000000, 0.000000000000000000,2500,29.75
C,ack_ot_p7_c_312,7,0.338439941406250000, 0.122497558593750000, 0.001098632812500000, 0.000000000000000000,2550,29.75
C,ack_ot_p7_c_312,7,0.348693847656250000, 0.129760742187500000, 0.002380371093750000, 0.000000000000000000,2600,29.75
C,ack_ot_p7_c_312,7,0.333862304687500000, 0.124633789062500000, 0.000610351562500000, 0.000000000000000000,2650,29.75
