Language,Program,Powercap,Package,Core,GPU,DRAM,Timestamp,Temperature
JavaScript,ack_ot_p7_js_41,7,0.821594238281250000, 0.588928222656250000, 0.002197265625000000, 0.000000000000000000,0,34.88
JavaScript,ack_ot_p7_js_41,7,0.743408203125000000, 0.524475097656250000, 0.003784179687500000, 0.000000000000000000,50,34.88
JavaScript,ack_ot_p7_js_41,7,0.484130859375000000, 0.275024414062500000, 0.000793457031250000, 0.000000000000000000,100,34.88
JavaScript,ack_ot_p7_js_41,7,0.421386718750000000, 0.207214355468750000, 0.003234863281250000, 0.000000000000000000,150,34.88
JavaScript,ack_ot_p7_js_41,7,0.397888183593750000, 0.177734375000000000, 0.002685546875000000, 0.000000000000000000,200,34.88
JavaScript,ack_ot_p7_js_41,7,0.381225585937500000, 0.165161132812500000, 0.001220703125000000, 0.000000000000000000,250,34.88
JavaScript,ack_ot_p7_js_41,7,0.360717773437500000, 0.149414062500000000, 0.001464843750000000, 0.000000000000000000,300,34.88
JavaScript,ack_ot_p7_js_41,7,0.353698730468750000, 0.139709472656250000, 0.001342773437500000, 0.000000000000000000,350,34.88
JavaScript,ack_ot_p7_js_41,7,0.352233886718750000, 0.135192871093750000, 0.001708984375000000, 0.000000000000000000,400,34.88
JavaScript,ack_ot_p7_js_41,7,0.343872070312500000, 0.133056640625000000, 0.000915527343750000, 0.000000000000000000,450,34.88
JavaScript,ack_ot_p7_js_41,7,0.353454589843750000, 0.138000488281250000, 0.001464843750000000, 0.000000000000000000,500,34.88
JavaScript,ack_ot_p7_js_41,7,0.348205566406250000, 0.135070800781250000, 0.001220703125000000, 0.000000000000000000,550,34.88
JavaScript,ack_ot_p7_js_41,7,0.341064453125000000, 0.124877929687500000, 0.001159667968750000, 0.000000000000000000,600,34.88
JavaScript,ack_ot_p7_js_41,7,0.348754882812500000, 0.134399414062500000, 0.001770019531250000, 0.000000000000000000,650,34.88
JavaScript,ack_ot_p7_js_41,7,0.347290039062500000, 0.135375976562500000, 0.001403808593750000, 0.000000000000000000,700,37.38
JavaScript,ack_ot_p7_js_41,7,0.357055664062500000, 0.138244628906250000, 0.002990722656250000, 0.000000000000000000,750,37.38
JavaScript,ack_ot_p7_js_41,7,0.349487304687500000, 0.134948730468750000, 0.003662109375000000, 0.000000000000000000,800,37.38
JavaScript,ack_ot_p7_js_41,7,0.354736328125000000, 0.136413574218750000, 0.002563476562500000, 0.000000000000000000,850,37.38
JavaScript,ack_ot_p7_js_41,7,0.344909667968750000, 0.132324218750000000, 0.000915527343750000, 0.000000000000000000,900,37.38
JavaScript,ack_ot_p7_js_41,7,0.338623046875000000, 0.131042480468750000, 0.001342773437500000, 0.000000000000000000,950,37.38
JavaScript,ack_ot_p7_js_41,7,0.343261718750000000, 0.129699707031250000, 0.001464843750000000, 0.000000000000000000,1000,37.38
JavaScript,ack_ot_p7_js_41,7,0.353759765625000000, 0.137512207031250000, 0.002746582031250000, 0.000000000000000000,1050,37.38
JavaScript,ack_ot_p7_js_41,7,0.347717285156250000, 0.131042480468750000, 0.002807617187500000, 0.000000000000000000,1100,37.38
JavaScript,ack_ot_p7_js_41,7,0.349975585937500000, 0.131347656250000000, 0.002197265625000000, 0.000000000000000000,1150,37.38
JavaScript,ack_ot_p7_js_41,7,0.347290039062500000, 0.130065917968750000, 0.002929687500000000, 0.000000000000000000,1200,37.38
JavaScript,ack_ot_p7_js_41,7,0.345947265625000000, 0.131225585937500000, 0.001647949218750000, 0.000000000000000000,1250,37.38
JavaScript,ack_ot_p7_js_41,7,0.350097656250000000, 0.129943847656250000, 0.002929687500000000, 0.000000000000000000,1300,37.38
