Language,Program,Powercap,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python, ack_std_p7_py_41, 7, 2921.987548828125000000, 1415.597534179687500000, 0.028564453125000000, 0.000000000000000000, 417370, 34.2, 22148
Python, ack_std_p7_py_41, 7, 2928.468383789062500000, 1419.129272460937500000, 0.023620605468750000, 0.000000000000000000, 418435, 33.6, 22148
Python, ack_std_p7_py_41, 7, 2939.516418457031250000, 1421.086547851562500000, 0.201782226562500000, 0.000000000000000000, 420076, 35.4, 22148
Python, ack_std_p7_py_41, 7, 2925.822021484375000000, 1419.028564453125000000, 0.023254394531250000, 0.000000000000000000, 418108, 34.9, 22148
Python, ack_std_p7_py_41, 7, 2927.526611328125000000, 1410.753234863281250000, 0.152770996093750000, 0.000000000000000000, 418345, 35.4, 22148
