Language,Program,Powercap,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, ack_std_p7_312, 7, 20.969116210937500000, 10.540283203125000000, 0.009033203125000000, 0.000000000000000000, 2995.94, 32.2, 2308
C, ack_std_p7_312, 7, 20.790039062500000000, 10.482727050781250000, 0.005676269531250000, 0.000000000000000000, 2958.08, 32.6, 2308
C, ack_std_p7_312, 7, 21.223876953125000000, 10.597900390625000000, 0.014099121093750000, 0.000000000000000000, 3030.97, 32.4, 2308
C, ack_std_p7_312, 7, 20.698242187500000000, 10.323608398437500000, 0.007385253906250000, 0.000000000000000000, 2943.24, 31.9, 2308
C, ack_std_p7_312, 7, 20.698913574218750000, 10.247070312500000000, 0.006958007812500000, 0.000000000000000000, 2955.49, 33.4, 2308
