Language,Program,Powercap,Package,Core,GPU,DRAM,Time,Temperature,Memory
Haskell, ack_std_np_hs_41, -1, 904.522033691406250000, 729.609313964843750000, 0.018615722656250000, 0.000000000000000000, 45404.7, 35.4, 16104
Haskell, ack_std_np_hs_41, -1, 904.675598144531250000, 732.819091796875000000, 0.019958496093750000, 0.000000000000000000, 46114, 34.9, 16104
Haskell, ack_std_np_hs_41, -1, 894.387512207031250000, 727.645202636718750000, 0.008422851562500000, 0.000000000000000000, 45224.6, 35.2, 16104
Haskell, ack_std_np_hs_41, -1, 874.135070800781250000, 701.296997070312500000, 0.015991210937500000, 0.000000000000000000, 47274.6, 35.2, 16104
Haskell, ack_std_np_hs_41, -1, 875.097534179687500000, 702.238037109375000000, 0.016845703125000000, 0.000000000000000000, 47174.5, 35.1, 16104
