Language,Program,Powercap,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, ack_std_np_312, -1, 26.385620117187500000, 20.856567382812500000, 0.004760742187500000, 0.000000000000000000, 1555.07, 32.1, 2308
C, ack_std_np_312, -1, 27.118530273437500000, 21.414184570312500000, 0.005065917968750000, 0.000000000000000000, 1591.39, 35.5, 2308
C, ack_std_np_312, -1, 28.112976074218750000, 22.148132324218750000, 0.004577636718750000, 0.000000000000000000, 1672.53, 32.1, 2308
C, ack_std_np_312, -1, 28.537292480468750000, 22.422424316406250000, 0.006042480468750000, 0.000000000000000000, 1719.59, 32.6, 2308
C, ack_std_np_312, -1, 26.679443359375000000, 21.146423339843750000, 0.005249023437500000, 0.000000000000000000, 1556.75, 34.6, 2308
