snapshot,time,mem_heap_B,mem_heap_extra_B,mem_stacks_B
0,0,0,0,0
1,874200450,0,0,288352
2,1436727085,0,0,306728
3,2154642819,0,0,184272
4,2666519981,0,0,312616
5,3794780239,0,0,600592
6,4599426125,0,0,441008
7,5117370725,0,0,340272
8,5997660021,0,0,307632
9,6580836779,0,0,296528
10,7265023081,0,0,320688
11,7911311788,0,0,873408
12,8479597991,0,0,637096
13,9242723839,0,0,703080
14,9982060858,0,0,945888
15,10909912276,0,0,974592
16,11443671101,0,0,938440
17,12290930988,0,0,1014208
18,13319817917,0,0,533128
19,14107036926,0,0,1166048
20,15238514183,0,0,1213960
21,16093702999,0,0,899336
22,16609010279,0,0,1199120
23,17557706967,0,0,829384
24,18236532485,0,0,1309040
25,18986663911,0,0,1424072
26,20005273481,0,0,1144456
27,20524768918,0,0,1480992
28,21200802601,0,0,689416
29,21705795201,0,0,931752
30,22425912887,0,0,679784
31,23161560276,0,0,1556608
32,24143361771,0,0,780688
33,24763954839,0,0,590088
34,25695030148,0,0,1619904
35,26392283926,0,0,1636128
36,26912174921,0,0,1445744
37,27867480964,0,0,1669056
38,28906542769,0,0,1379056
39,29454183678,0,0,1702624
40,30292433844,0,0,1719680
41,30812324839,0,0,1298376
42,31680334023,0,0,1350504
43,32578715575,0,0,1252624
44,32989914324,0,0,1771840
45,33769750807,0,0,916808
46,34472595255,0,0,755080
47,35469518465,0,0,1277608
48,35979605526,0,0,1825568
49,37019387483,0,0,913296
50,37045170324,0,0,1843840
51,37456369081,0,0,1348712
52,37867567831,0,0,1378952
53,38147102998,0,0,1862304
54,38558301753,0,0,1815144
55,38969500507,0,0,1209616
56,39284216926,0,0,1880928
57,39695415675,0,0,1080168
58,40106614439,0,0,1616008
59,40459196158,0,0,1899744
60,40870394919,0,0,805032
61,41281593681,0,0,1652040
62,41672845078,0,0,1918752
63,42084043829,0,0,921264
64,42495242587,0,0,1209168
65,42906441351,0,0,865992
66,42925976278,0,0,1937952
67,43337175033,0,0,1702256
68,43748373783,0,0,1176456
69,44159572543,0,0,1171536
70,44219410558,0,0,1957344
71,44630609321,0,0,1802312
72,45041808071,0,0,532520
73,45453006823,0,0,1495696
74,45553976926,0,0,1976928
75,45965175689,0,0,1892872
76,46376374439,0,0,1014472
77,46787573189,0,0,595696
78,46930512598,0,0,1996704
79,47341711359,0,0,1597520
80,47752910109,0,0,1545840
81,48164108859,0,0,1781584
82,48349862998,0,0,2016672
83,48761061751,0,0,720208
84,49172260505,0,0,793000
85,49583459265,0,0,1830960
86,49815227988,0,0,2036864
87,50226426737,0,0,918664
88,50637625487,0,0,165392
89,51048824239,0,0,779536
90,51325219926,0,0,2057248
91,51736418687,0,0,1193872
92,52147617437,0,0,42032
93,52558816199,0,0,2057992
94,52880710228,0,0,2077824
95,53291908983,0,0,1303560
96,53703107745,0,0,1177320
97,54114306505,0,0,1775240
