snapshot,time,mem_heap_B,mem_heap_extra_B,mem_stacks_B
0,0,0,0,0
1,43881248,0,0,6776
2,98264207,0,0,50536
3,164510131,0,0,42464
4,242250848,0,0,33064
5,305342282,0,0,60504
6,382974306,0,0,100208
7,442306386,0,0,106608
8,509082433,0,0,63976
9,554155112,0,0,99704
10,641968014,0,0,82024
11,694353396,0,0,125728
12,758293671,0,0,76216
13,798161298,0,0,108264
14,873058510,0,0,89864
15,923756839,0,0,137976
16,1001527206,0,0,142208
17,1053929020,0,0,70296
18,1094063404,0,0,154288
19,1153878960,0,0,167408
20,1192188530,0,0,172608
21,1251155826,0,0,162056
22,1337441924,0,0,147144
23,1386026992,0,0,175304
24,1439132521,0,0,193976
25,1499257668,0,0,156184
26,1583438954,0,0,203088
27,1637122374,0,0,164984
28,1715262244,0,0,103336
29,1757927316,0,0,84424
30,1818625699,0,0,212696
31,1894504328,0,0,154264
32,1927710346,0,0,207304
33,2002437219,0,0,143576
34,2055719415,0,0,135176
35,2112526189,0,0,145576
36,2170983017,0,0,205416
37,2231089848,0,0,128024
38,2292846754,0,0,155976
39,2358469566,0,0,119064
40,2425858170,0,0,220856
41,2495012560,0,0,145816
42,2568327183,0,0,80784
43,2613499263,0,0,138056
44,2688699359,0,0,101976
45,2765784956,0,0,171096
46,2824748827,0,0,81816
47,2908307873,0,0,208056
48,2948703904,0,0,256288
49,2971289920,0,0,221416
50,3004495972,0,0,138344
51,3037701993,0,0,105016
52,3039050248,0,0,258928
53,3072256280,0,0,37384
54,3105462330,0,0,247176
55,3131533210,0,0,261568
56,3164739230,0,0,260864
57,3197945262,0,0,178984
58,3226152790,0,0,264208
59,3259358814,0,0,124536
60,3292564836,0,0,76944
61,3325770868,0,0,131176
62,3325874348,0,0,266928
63,3359080380,0,0,58504
64,3392286420,0,0,253784
65,3425492448,0,0,252376
66,3427863978,0,0,269648
67,3461070028,0,0,165144
68,3494276058,0,0,131976
69,3527482116,0,0,56856
70,3532121680,0,0,272368
71,3565327700,0,0,222664
72,3598533745,0,0,60856
73,3631739782,0,0,68104
74,3641814900,0,0,275168
75,3675020926,0,0,265064
76,3708226990,0,0,17304
77,3741433032,0,0,118744
78,3753911570,0,0,277968
79,3787117614,0,0,256744
80,3820323671,0,0,45336
81,3853529716,0,0,18264
82,3868411690,0,0,280768
83,3901617716,0,0,197784
84,3934823758,0,0,156856
85,3968029783,0,0,199184
86,3988690678,0,0,283648
87,4021896730,0,0,120104
88,4055102778,0,0,269224
89,4088308812,0,0,95064
90,4111512418,0,0,286528
91,4144718438,0,0,15816
92,4177924494,0,0,12616
93,4211130515,0,0,284864
94,4236876910,0,0,289408
95,4270082928,0,0,153896
96,4303288990,0,0,270424
