snapshot,time,mem_heap_B,mem_heap_extra_B,mem_stacks_B
0,0,0,0,0
1,207463947,0,0,43280
2,469338791,0,0,71272
3,588691487,0,0,197776
4,775006957,0,0,241328
5,963598453,0,0,227440
6,1122819583,0,0,231848
7,1237669199,0,0,333448
8,1423359887,0,0,362344
9,1575663179,0,0,232976
10,1838297086,0,0,425760
11,2079507297,0,0,268848
12,2241139625,0,0,79216
13,2353017165,0,0,381360
14,2513030073,0,0,195888
15,2663076271,0,0,226960
16,2882537341,0,0,173488
17,3058218303,0,0,375816
18,3278878831,0,0,103112
19,3426871910,0,0,552032
20,3598124008,0,0,597888
21,3742964067,0,0,448784
22,3902501606,0,0,641120
23,4135065535,0,0,611152
24,4275976377,0,0,647208
25,4433131131,0,0,434088
26,4607303171,0,0,621416
27,4800186661,0,0,499888
28,5061813587,0,0,728584
29,5175417277,0,0,569392
30,5417820155,0,0,550184
31,5632343369,0,0,514608
32,5869453936,0,0,782656
33,6013577827,0,0,615464
34,6252854243,0,0,693672
35,6417792255,0,0,785232
36,6589545353,0,0,746544
37,6839640635,0,0,379944
38,7072384550,0,0,839264
39,7216508427,0,0,820560
40,7415657813,0,0,697904
41,7549576663,0,0,716688
42,7691255446,0,0,864736
43,7912939408,0,0,873408
44,8141902870,0,0,882144
45,8286026753,0,0,294128
46,8451202261,0,0,220400
47,8595326137,0,0,609608
48,8768964441,0,0,200968
49,8879194408,0,0,908928
50,8989424381,0,0,678320
51,9099654351,0,0,685520
52,9142394758,0,0,918048
53,9252624725,0,0,351560
54,9362854697,0,0,412840
55,9413680360,0,0,927232
56,9523910329,0,0,470792
57,9634140297,0,0,233584
58,9694160240,0,0,936512
59,9804390217,0,0,655280
60,9914620187,0,0,313168
61,9984032758,0,0,945888
62,10094262729,0,0,388552
63,10204492697,0,0,147376
64,10283498326,0,0,955360
65,10393728305,0,0,466224
66,10503958281,0,0,576456
67,10592759408,0,0,964928
68,10702989375,0,0,946984
69,10813219347,0,0,603664
70,10912020520,0,0,974592
71,11022250489,0,0,493352
72,11132480457,0,0,568008
73,11241488230,0,0,984352
74,11351718211,0,0,126248
75,11461948181,0,0,150640
76,11572178153,0,0,446600
77,11581371158,0,0,994208
78,11691601129,0,0,163184
79,11801831097,0,0,393904
80,11912061065,0,0,64936
81,11931879976,0,0,1004160
82,12042109943,0,0,207824
83,12152339911,0,0,430288
84,12262569883,0,0,108392
85,12293227408,0,0,1014208
86,12403457375,0,0,146600
87,12513687355,0,0,255824
88,12623917323,0,0,585160
89,12665628230,0,0,1024352
90,12775858203,0,0,82920
91,12886088171,0,0,228616
92,12996318145,0,0,691184
93,13050510440,0,0,1034624
94,13160740409,0,0,428264
95,13270970377,0,0,1013160
96,13381200345,0,0,366856
97,13446930920,0,0,1044992
98,13557160889,0,0,927688
