snapshot,time,mem_heap_B,mem_heap_extra_B,mem_stacks_B
0,0,0,0,0
1,314523,4248037,643,1472
2,1660599583,4256405,699,17656
3,4248914240,4256405,699,17656
4,7820018081,4256405,699,17704
5,11895545543,4256405,699,17656
6,15088498804,4256405,699,17400
7,16832576845,4256405,699,17400
8,20538426087,4256405,699,17400
9,22718529233,4256405,699,17400
10,26757064729,4256405,699,17400
11,30215390733,4256405,699,17448
12,34058414640,4256405,699,17400
13,37516994415,4256405,699,17400
14,40975574745,4256405,699,17400
15,43281382901,4256405,699,17400
16,45203129053,4256405,699,17400
17,47819495540,4256405,699,17400
18,49781907904,4256405,699,17400
19,52398366722,4256405,699,17400
20,55668618169,4256405,699,17400
21,58285255753,4256405,699,17400
22,61555632176,4256405,699,17448
23,64171891178,4256405,699,17400
24,66134123818,4256405,699,17448
25,70058435919,4256405,699,17400
26,72674846373,4256405,699,17400
27,74637118688,4256405,699,17448
28,77907476083,4256405,699,17448
29,80213370217,4256405,699,17400
30,83672252907,4256405,699,17400
31,87131179211,4256405,699,17400
32,90590021035,4256405,699,17400
33,92895875395,4256405,699,17400
34,95201747984,4256405,699,17400
35,97507545031,4256405,699,17448
36,99813293567,4256405,699,17400
37,103271927638,4256405,699,1848
38,105577814158,4256405,699,17400
39,107883485764,4256405,699,17448
40,111342198539,4256405,699,17400
41,113647845674,4256405,699,17400
42,117106555268,4256405,699,1848
43,119412462989,4256405,699,17400
44,122871398954,4256405,699,17400
45,125177462504,4256405,699,17400
46,128636234373,4256405,699,17400
47,130942190380,4256405,699,17400
48,133247848014,4256405,699,1848
49,135553776518,4256405,699,17400
50,137214061580,4256405,699,1832
51,138874590481,4256405,699,17400
52,140534892679,4256405,699,17400
53,142195243592,4256405,699,17400
54,143855528673,4256405,699,1832
