snapshot,time,mem_heap_B,mem_heap_extra_B,mem_stacks_B
0,0,0,0,0
1,47254501,1215684,23508,21984
2,9363833630,1184822,23434,1448
3,17863142315,1184822,23434,1448
4,31601608174,1184822,23434,1512
5,48053850417,1184822,23434,1512
6,64675707393,1184822,23434,1448
7,80788724417,1184822,23434,1448
8,90965366781,1184822,23434,1448
9,102838116182,1184822,23434,1448
10,113616392408,1184822,23434,1448
11,122479666676,1184822,23434,1448
12,137251790205,1184822,23434,1528
13,150546701635,1184822,23434,1448
14,163841612684,1184822,23434,1528
15,177136524683,1184822,23434,1448
16,185179270487,1184822,23434,1512
17,195355912721,1184822,23434,1448
18,205532554758,1184822,23434,1448
19,218253357608,1184822,23434,1448
20,228429999778,1184822,23434,1480
21,241150802933,1184822,23434,1448
22,251327445243,1184822,23434,1448
23,258959926697,1184822,23434,1496
24,269136569032,1184822,23434,1448
25,281857371634,1184822,23434,1448
26,294578174814,1184822,23434,1480
27,307298978172,1184822,23434,1448
28,315779513335,1184822,23434,1544
29,324260048706,1184822,23434,1448
30,336980851697,1184822,23434,1448
31,345461386732,1184822,23434,1544
32,353941921838,1184822,23434,1448
33,366662724517,1184822,23434,1448
34,375143259627,1184822,23434,1448
35,383623794964,1184822,23434,1448
36,392104330054,1184822,23434,1480
37,404825133212,1184822,23434,1448
38,413305668499,1184822,23434,1448
39,421786203734,1184822,23434,1544
40,434507006456,1184822,23434,1448
41,442987541651,1184822,23434,1576
42,455708344646,1184822,23434,1480
43,468429147412,1184822,23434,1448
44,476909682934,1184822,23434,1448
45,485390218072,1184822,23434,1448
46,493870753315,1184822,23434,1448
47,502351288901,1184822,23434,1448
48,510831823914,1184822,23434,1496
49,519312358991,1184822,23434,1448
50,522649873493,1184822,23434,1448
51,525987387718,1184822,23434,1448
52,529324901879,1184822,23434,1536
53,532662416210,1184822,23434,1448
54,535999930394,1184822,23434,1448
