snapshot,time,mem_heap_B,mem_heap_extra_B,mem_stacks_B
0,0,0,0,0
1,6082847357,1938666,150878,744960
2,11516557656,1938666,150878,459040
3,18372794426,1938666,150878,932520
4,22576760614,1947186,150934,944704
5,28249831911,1947186,150934,1432232
6,35621110248,1947186,150934,1412800
7,41487168625,1947186,150934,1801472
8,50533712552,1947186,150934,609440
9,58052953540,1947186,150934,327336
10,63917885549,1947186,150934,454176
11,68418628516,1947186,150934,2253184
12,74140137650,1947186,150934,1904800
13,78265763367,1947186,150934,2445216
14,84302045741,1947186,150934,2413344
15,90379577286,1947186,150934,1601952
16,99298549380,1947186,150934,2326040
17,105919597474,1947186,150934,2529952
18,114777033729,1947186,150934,1163944
19,120760838052,1947186,150934,2617024
20,125928985564,1947186,150934,1847616
21,133862322206,1947186,150934,3319296
22,141949562829,1947186,150934,2037568
23,150369982102,1947186,150934,2679672
24,157177612081,1947186,150934,2213312
25,166304470938,1947186,150934,1792168
26,173835600505,1947186,150934,2896960
27,181732711938,1947186,150934,2889496
28,190022632947,1947186,150934,1054376
29,194788662477,1947186,150934,3269800
30,201920332257,1947186,150934,3827456
31,205827775731,1947186,150934,1330496
32,215314641622,1947186,150934,2073280
33,221325473551,1947186,150934,3946624
34,227695429365,1947186,150934,1421864
35,236610783429,1947186,150934,1177376
36,242475785327,1947186,150934,4068224
37,247400810331,1947186,150934,2758696
38,256190417140,1947186,150934,467360
39,261115442006,1947186,150934,768320
40,267915546495,1947186,150934,446496
41,272702747732,1947186,150934,4448000
42,278766212700,2085438,152514,4265592
43,287900929385,2085438,152514,4711160
44,293616189622,2085438,152514,4530728
45,301536397658,2085438,152514,2889600
46,306230248664,2085438,152514,4335744
47,311432279456,2085438,152514,3696976
48,320953838696,2085438,152514,5212568
49,325878863510,2085438,152514,2508720
50,327768508889,2085438,152514,5287112
51,331675952366,2085438,152514,1985024
52,335148160310,2085438,152514,5362376
53,339055603790,2085438,152514,4082416
54,342963047272,2085438,152514,3853232
55,343112377916,2085438,152514,5438408
56,347019821393,2085438,152514,4461144
57,350927264872,2085438,152514,3137208
58,351676669529,2085438,152514,5515208
59,355584113005,2085438,152514,2610392
60,359491556489,2085438,152514,1297520
61,360856706408,2085438,152514,5592776
62,364764149894,2085438,152514,3466840
63,368671593370,2085438,152514,4899544
64,370668309719,2085438,152514,5671112
65,374575753214,2085438,152514,5171496
66,378483196706,2085438,152514,1076040
67,381127460000,2085438,152514,5750216
68,385034903477,2085438,152514,3225360
